method,time,true_y,lower_bound,upper_bound,violation
nexCP+LS,100,0.393421,0.23172388140646835,0.5247825425438385,False
nexCP+LS,101,0.421053,0.21875562322587774,0.5094370173095555,False
nexCP+LS,102,0.473684,0.27046010366162443,0.5521638032047775,False
nexCP+LS,103,0.475,0.3050842511274409,0.5702640769627806,False
nexCP+LS,104,0.43114,0.3045678481249393,0.5718247696104979,False
nexCP+LS,105,0.450439,0.2721987318872615,0.5408125985704895,False
nexCP+LS,106,0.444737,0.24243555986900894,0.5122128061221763,False
nexCP+LS,107,0.464474,0.2232389905704815,0.4920112100771457,False
nexCP+LS,108,0.361842,-0.02735537284583315,0.2766282583904733,True
nexCP+LS,109,0.363596,0.0985842176827203,0.38535135571509993,False
nexCP+LS,110,0.380702,0.08776755744628285,0.3717474432442636,True
nexCP+LS,111,0.420175,0.11338091630625013,0.3974021737381166,True
nexCP+LS,112,0.369298,0.10176034922204182,0.3926743690073417,False
nexCP+LS,113,0.360088,0.05449024095734967,0.3596055888899196,True
nexCP+LS,114,0.372368,0.14667311868403257,0.46082690058478437,False
nexCP+LS,115,0.433772,0.20954048430144262,0.5140558460205197,False
nexCP+LS,116,0.396053,0.19009301571841106,0.48039931934247093,False
nexCP+LS,117,0.353947,0.1788748492065353,0.4725901299136116,False
nexCP+LS,118,0.375877,0.15345720219968534,0.44762011563547494,False
nexCP+LS,119,0.368421,0.16055080263335256,0.44948552148952536,False
nexCP+LS,120,0.567105,0.5290071136282457,0.8216334323688479,False
nexCP+LS,121,0.577632,0.5212940963719004,0.80787444461721,False
nexCP+LS,122,0.570614,0.46474364032244925,0.7513637636041745,False
nexCP+LS,123,0.568421,0.429770209271894,0.7155249369163706,False
nexCP+LS,124,0.527193,0.39839533462787285,0.6858155399116616,False
nexCP+LS,125,0.569737,0.3749704355767829,0.6616048720616176,False
nexCP+LS,126,0.742544,0.5563048199354391,0.8573268429064896,False
nexCP+LS,127,0.704825,0.5763565221265322,0.8720571344517398,False
nexCP+LS,128,0.683333,0.5523392324421087,0.8468519223167214,False
nexCP+LS,129,0.693421,0.5239839313036356,0.8151558165599839,False
nexCP+LS,130,0.736842,0.49095902711263584,0.7829834893032027,False
nexCP+LS,131,0.726316,0.4608392059042752,0.7456416546731701,False
nexCP+LS,132,0.47193,0.46302543721407574,0.7595903507017444,False
nexCP+LS,133,0.399123,0.34536768099845305,0.6590727377482811,False
nexCP+LS,134,0.302632,0.33910173696416196,0.6263477034951956,True
nexCP+LS,135,0.335088,0.2787942860147499,0.5830632779036692,False
nexCP+LS,136,0.257895,0.14004300452746182,0.46402810788120497,False
nexCP+LS,137,0.304386,0.037650260499971874,0.3861758460696081,False
nexCP+LS,138,0.476754,0.4202067149416983,0.7069240734553509,False
nexCP+LS,139,0.517982,0.650287872642908,1.2933594850195844,True
nexCP+LS,140,0.426754,0.408477771040594,0.6904512874951662,False
nexCP+LS,141,0.389035,0.4011107011731952,0.69051402429058,True
nexCP+LS,142,0.439912,0.3650900633988489,0.6773427893790778,False
nexCP+LS,143,0.427632,0.3610563598324039,0.6578852404620625,False
nexCP+LS,144,0.400877,0.4034088160595689,0.7042739258217395,True
nexCP+LS,145,0.413596,0.4367666933828141,0.7499553936822555,True
nexCP+LS,146,0.393421,0.42513741291590457,0.7417251087622521,True
nexCP+LS,147,0.50307,0.38497698887202614,0.7344677337262425,False
nexCP+LS,148,0.42193,0.33128622017185205,0.6765600359809842,False
nexCP+LS,149,0.457895,0.30286736541989745,0.6427255883501497,False
nexCP+LS,150,0.457018,0.4361040774849831,0.7761850274455531,False
nexCP+LS,151,0.421491,0.45225960989124975,0.7928475547143861,True
nexCP+LS,152,0.393421,0.40000524230870066,0.742437811683441,True
nexCP+LS,153,0.430263,0.3424227036663988,0.6875467414883315,False
nexCP+LS,154,0.434649,0.2846215673283495,0.6268960222852287,False
nexCP+LS,155,0.456579,0.2492637186401326,0.5884859350169364,False
nexCP+LS,156,0.474561,0.43412601116487815,0.7821803741171286,False
nexCP+LS,157,0.567982,0.4440066275387558,0.7878404907026562,False
nexCP+LS,158,0.582895,0.3991394486673972,0.7374990186672047,False
nexCP+LS,159,0.596053,0.35619944054144387,0.691101613733667,False
nexCP+LS,160,0.548246,0.3277354680853785,0.6653772580762334,False
nexCP+LS,161,0.538596,0.3179664487952675,0.6536064905412242,False
nexCP+LS,162,0.598246,0.402464601911192,0.7400636303123652,False
nexCP+LS,163,0.6,0.4027455274463117,0.7415858380046241,False
nexCP+LS,164,0.59386,0.36606449527627893,0.7037304648239359,False
nexCP+LS,165,0.592544,0.29932623347983905,0.6354134595082291,False
nexCP+LS,166,0.622368,0.2523373573214498,0.5888510004284796,True
nexCP+LS,167,0.639474,0.20693869719686747,0.5467284705043146,True
nexCP+LS,168,0.765789,0.5476540205455259,0.911061850676207,False
nexCP+LS,169,0.765789,0.5413396064294627,0.9045581850170743,False
nexCP+LS,170,0.765789,0.5039276140891757,0.8621822113119102,False
nexCP+LS,171,0.756579,0.4308404506108244,0.7800099274592699,False
nexCP+LS,172,0.590351,0.49180802749907,1.322699881695239,False
nexCP+LS,173,0.590351,0.4198800686275088,0.9498021437623146,False
